Año;Trimestre;Provincia;HASTA 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;TOTAL
2015;3;Jujuy;2.549;9.278;21.588;5.169;966;0;0;0;1004.584
2015;3;La Pampa;613;13.087;47.66;9;55;39;10;0;786.747
2015;3;La Rioja;10;3.84;9.102;2.984;832;0;3;0;860.926
2015;3;Mendoza;256;25;173.43;45;18;5;13;0;535.43
2015;3;Misiones;958;9.809;51.234;17.367;11.654;559;43;0;1650.064
2015;3;Neuquén;1.733;2.124;85.044;210;6.599;2;155;0;462.5
2015;3;Río Negro;3.372;4.457;88.691;99;3.826;1;62;0;262.346
2015;3;Salta;1.126;12.223;65.405;17.451;4.318;61;5;0;166.523
2015;3;San Juan;9;391;54.963;0;0;0;2;0;456.963
2015;3;San Luis;9;4;13.286;0;0;1;2;0;29.286
2015;3;Santa Cruz;190;25;32.266;2;0;0;0;0;249.266
2015;3;Santa Fe;6.767;80.817;363.177;59.531;42.021;2.32;1.133;0;555.766
2015;3;Santiago Del Estero;703;8.332;23.158;5.956;1.249;0;0;0;741.695
2015;3;Tierra Del Fuego;15;285;36.408;2;0;0;0;0;338.408
2015;3;Tucumán;107;23.687;83.654;29.998;6.232;623;0;0;873.571
2015;2;Buenos Aires;8.714;137.189;2299.705;243.503;159.922;2.01;6.712;0;2857.755
2015;2;Capital Federal;2.493;51.799;990.112;148.569;142.976;1.482;9.258;0;1346.689
2015;2;Catamarca;15;7.253;14.003;3.776;593;37;1;0;671.032
2015;2;Chaco;288;11.058;47.551;17.675;6.337;788;149;0;1307.621
2015;2;Chubut;656;6.032;55.791;168;0;0;0;0;885.823
2015;2;Córdoba;156;72.695;434.717;54.993;46.415;1.956;903;0;1669.776
2015;2;Corrientes;34;12.542;48.015;17.184;5.039;379;126;0;621.78
2015;2;Entre Ríos;2.864;21.986;104.043;32.293;7.867;354;136;0;659.053
2015;2;Formosa;1.881;6.907;14.247;2.436;1.324;257;1;0;284.795
2015;2;Jujuy;2.479;9.474;20.248;4.792;730;0;0;0;766.993
2015;2;La Pampa;5.737;8.182;46.235;27;24;25;10;0;146.154
2015;2;La Rioja;10;4.082;9.093;2.68;641;0;3;0;669.855
2015;2;Mendoza;268;26;170.451;42;16;5;13;0;540.451
2015;2;Misiones;958;10.36;51.671;15.022;10.072;408;33;0;1486.125
2015;2;Neuquén;1.755;2.348;82.727;214;5.168;2;110;0;417.998
2015;2;Río Negro;3.413;4.525;87.362;97;3.24;1;51;0;247.54
2015;2;Salta;1.123;13.02;64.737;16.241;3.114;29;5;0;132.235
2015;2;San Juan;8;410;51.568;0;0;0;2;0;471.568
2015;2;San Luis;9;4;13.204;0;0;1;2;0;29.204
2015;2;Santa Cruz;210;25;25.519;2;0;0;0;0;262.519
2015;2;Santa Fe;6.827;86.016;364.441;53.205;33.894;1.856;1.014;0;547.253
2015;2;Santiago Del Estero;703;8.779;23.456;5.553;888;0;0;0;1628.788
2015;2;Tierra Del Fuego;15;285;36.073;2;0;0;0;0;338.073
2015;2;Tucumán;107;25.178;83.462;26.966;4.502;455;0;0;702.108
2015;1;Buenos Aires;8.882;123.589;2267.852;220.07;126.958;1.561;5.7;0;2754.612
